LR = 0.003, max_iterations = 15000, R^2 = 0.4627616235919999, MAE = 4.118946132273089, RMSE = 5.176362167783447, Explained-Variance = 0.46328796323260335 
LR = 0.001, max_iterations = 7000, R^2 = 0.5358192235670909, MAE = 3.5457678574548335, RMSE = 4.647594354889056, Explained-Variance = 0.5360907136028701 
LR = 0.001, max_iterations = 10000, R^2 = 0.5369498499963741, MAE = 3.538191704826887, RMSE = 4.6419262703182795, Explained-Variance = 0.53695029434018 
LR = 0.001, max_iterations = 15000, R^2 = 0.5375372246081074, MAE = 3.534294548851803, RMSE = 4.638980159769369, Explained-Variance = 0.53753720046421 
LR = 0.001, max_iterations = 25000, R^2 = 0.5376011745077609, MAE = 3.5339966273401804, RMSE = 4.638659292601956, Explained-Variance = 0.5376011731135096 
LR = 0.001, max_iterations = 40000, R^2 = 0.537605076252271, MAE = 3.534142144158112, RMSE = 4.6386397149694725, Explained-Variance = 0.5376050762478504 
LR = 0.003, max_iterations = 7000, R^2 = 0.5375924628216222, MAE = 3.533941492868784, RMSE = 4.63870304974691, Explained-Variance = 0.5375924493221511 
LR = 0.003, max_iterations = 10000, R^2 = 0.5376046070967186, MAE = 3.534085626478826, RMSE = 4.638642070759709, Explained-Variance = 0.5376046065818317 
LR = 0.003, max_iterations = 15000, R^2 = 0.537605086527176, MAE = 3.5341484649469015, RMSE = 4.638639663421006, Explained-Variance = 0.5376050865248931 
LR = 0.003, max_iterations = 25000, R^2 = 0.5376050886620682, MAE = 3.5341529231393833, RMSE = 4.638639652701182, Explained-Variance = 0.5376050886620678 
LR = 0.003, max_iterations = 40000, R^2 = 0.5376050886621309, MAE = 3.534152947463334, RMSE = 4.638639652700867, Explained-Variance = 0.5376050886621307 
LR = 0.01, max_iterations = 7000, R^2 = 0.5376050886619631, MAE = 3.534152907712847, RMSE = 4.63863965270171, Explained-Variance = 0.5376050886619625 
LR = 0.01, max_iterations = 10000, R^2 = 0.5376050886621307, MAE = 3.5341529472116084, RMSE = 4.638639652700868, Explained-Variance = 0.5376050886621306 
LR = 0.01, max_iterations = 15000, R^2 = 0.5376050886621307, MAE = 3.534152947470663, RMSE = 4.638639652700866, Explained-Variance = 0.537605088662131 
LR = 0.01, max_iterations = 25000, R^2 = 0.5376050886621309, MAE = 3.534152947470697, RMSE = 4.638639652700866, Explained-Variance = 0.5376050886621309 
LR = 0.01, max_iterations = 40000, R^2 = 0.5376050886621309, MAE = 3.534152947470697, RMSE = 4.638639652700866, Explained-Variance = 0.5376050886621309 
LR = 0.1, max_iterations = 7000, R^2 = 0.5376050886621307, MAE = 3.534152947470709, RMSE = 4.638639652700867, Explained-Variance = 0.5376050886621307 
LR = 0.1, max_iterations = 10000, R^2 = 0.5376050886621307, MAE = 3.534152947470709, RMSE = 4.638639652700867, Explained-Variance = 0.5376050886621307 
LR = 0.1, max_iterations = 15000, R^2 = 0.5376050886621307, MAE = 3.534152947470709, RMSE = 4.638639652700867, Explained-Variance = 0.5376050886621307 
LR = 0.1, max_iterations = 25000, R^2 = 0.5376050886621307, MAE = 3.534152947470709, RMSE = 4.638639652700867, Explained-Variance = 0.5376050886621307 
LR = 0.1, max_iterations = 40000, R^2 = 0.5376050886621307, MAE = 3.534152947470709, RMSE = 4.638639652700867, Explained-Variance = 0.5376050886621307 
LR = 0.25, max_iterations = 7000, R^2 = 0.5376050886621307, MAE = 3.53415294747071, RMSE = 4.638639652700867, Explained-Variance = 0.5376050886621306 
LR = 0.25, max_iterations = 10000, R^2 = 0.5376050886621307, MAE = 3.53415294747071, RMSE = 4.638639652700867, Explained-Variance = 0.5376050886621306 
LR = 0.25, max_iterations = 15000, R^2 = 0.5376050886621307, MAE = 3.53415294747071, RMSE = 4.638639652700867, Explained-Variance = 0.5376050886621306 
LR = 0.25, max_iterations = 25000, R^2 = 0.5376050886621307, MAE = 3.53415294747071, RMSE = 4.638639652700867, Explained-Variance = 0.5376050886621306 
LR = 0.25, max_iterations = 40000, R^2 = 0.5376050886621307, MAE = 3.53415294747071, RMSE = 4.638639652700867, Explained-Variance = 0.5376050886621306 
